# Matter power spectrum P(k) at redshift z=0
# for k=9.66272e-06 to 139.669 h/Mpc,
# number of wavenumbers equal to 3581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.338719059331e-05       4.993024224449e+02 
       8.377208837699e-05       5.015206117964e+02 
       8.415876276813e-05       5.037486474095e+02 
       8.454722196715e-05       5.059865686278e+02 
       8.493747421237e-05       5.082344234192e+02 
       8.532952778012e-05       5.104922547351e+02 
       8.572339098490e-05       5.127601067678e+02 
       8.611907217964e-05       5.150380229458e+02 
       8.651657975579e-05       5.173260479318e+02 
       8.691592214355e-05       5.196242278296e+02 
       8.731710781202e-05       5.219326058446e+02 
       8.772014526939e-05       5.242512284805e+02 
       8.812504306315e-05       5.265801407602e+02 
       8.853180978020e-05       5.289193868875e+02 
       8.894045404711e-05       5.312690142694e+02 
       8.935098453026e-05       5.336290691633e+02 
       8.976340993602e-05       5.359995949197e+02 
       9.017773901096e-05       5.383806395773e+02 
       9.059398054201e-05       5.407722513387e+02 
       9.101214335668e-05       5.431744731406e+02 
       9.143223632320e-05       5.455873552017e+02 
       9.185426835075e-05       5.480109434345e+02 
       9.227824838964e-05       5.504452850467e+02 
       9.270418543146e-05       5.528904278087e+02 
       9.313208850934e-05       5.553464196964e+02 
       9.356196669809e-05       5.578133083187e+02 
       9.399382911440e-05       5.602911417028e+02 
       9.442768491706e-05       5.627799687024e+02 
       9.486354330711e-05       5.652798375467e+02 
       9.530141352808e-05       5.677907970308e+02 
       9.574130486616e-05       5.703128964825e+02 
       9.618322665040e-05       5.728461850158e+02 
       9.662718825292e-05       5.753907119954e+02 
       9.707319908909e-05       5.779465269525e+02 
       9.752126861774e-05       5.805136799381e+02 
       9.797140634136e-05       5.830922214755e+02 
       9.842362180631e-05       5.856822006221e+02 
       9.887792460301e-05       5.882836700738e+02 
       9.933432436614e-05       5.908966775766e+02 
       9.979283077486e-05       5.935212765178e+02 
       1.002534535530e-04       5.961575174100e+02 
       1.007162024693e-04       5.988054521999e+02 
       1.011810873375e-04       6.014651307809e+02 
       1.016481180168e-04       6.041366068036e+02 
       1.021173044118e-04       6.068199312798e+02 
       1.025886564727e-04       6.095151579997e+02 
       1.030621841960e-04       6.122223378223e+02 
       1.035378976238e-04       6.149415248506e+02 
       1.040158068451e-04       6.176727703221e+02 
       1.044959219952e-04       6.204161291272e+02 
       1.049782532560e-04       6.231716550026e+02 
       1.054628108569e-04       6.259393998980e+02 
       1.059496050740e-04       6.287194193055e+02 
       1.064386462311e-04       6.315117674188e+02 
       1.069299446996e-04       6.343164973527e+02 
       1.074235108988e-04       6.371336646413e+02 
       1.079193552961e-04       6.399633240293e+02 
